,Sentence,language,stopwords count,Actionable Words,Check Email,Check Phone,Check URL or Link,Sentiments,Named Entinties,Profanitries
1292,6SJ5E5 RIder details provided ,English,4,"['order', 'rider']",,,,Positive,,[]
1293,prescription taken from previous order and uploaded to current order.,English,2,Null,,,,Neutral,[],[]
1294,cs ko guide kardia hai k ap k order rider k pas hai ,Roman Urdu,4,"['order', 'rider']",,,,Positive,,
1295,Blur Rx uploaded guided uplaod again a clear pic,English,2,"['Reschedule', 'Order', 'Care']",,,,Neutral,['DPV9C4'],
1296,cs ko guide kardia hai k ap k order rider k pas hai ,Roman Urdu,4,"['order', 'confirm']",,,,Positive,,
1297,DPV9C4 B2C - Reschedule Order by Care (IB2C),English,3,"['Order', 'Creation']",,,,,[],[]
1298,cs ko guide kardia hai k ap k order draft me hai confirm krdia jayga call kar k ,Roman Urdu,,Null,,+88NDA1,,,,
1299,SGQ8HP/ B2C - Order Creation,English,2,['update'],,,,,,
1300,Rider's contact number has been provided //88NDA1,Roman Urdu,2,Null,,,,Neutral,[],[]
1301,70M786 Timeline & address update ,English,3,"['order', 'complete']",,,,Positive,,
1302,F239JY// cx guided,Roman Urdu,0,Null,,,,,,
1303,order complete mark krdia hai ,Roman Urdu,,Null,,,,,,
1304,/ B2B - Booker Complaint KHI,Roman Urdu,2,"['delivery', 'timeline']",,,,,,
1305,AJW7R2 Rider details provided ,English,1,"['delivery', 'instruction']",,,,Neutral,[],[]
1306,GRH947 Delivery timeline ,English,6,"['order', 'mark', 'returned']",,,,Negative,,['nr']
1307,90MTJ9 delivery instruction ,English,2,Null,,,,Negative,[],"['crank', 'timewaster']"
1308,"OB37EX \ Rider is at customer location but customer number is nr, order mark as returned",Roman Urdu,2,"['Guided', 'delivery', 'timeline']",,,,Neutral,[],[]
1309,077570 Crank & Timewaster ,Roman Urdu,6,"['order', 'returned']",,,,Negative,['customer location'],['nr']
1310,1ZHEGB \ Guided delivery timeline.,English,0,Null,,,,Neutral,[],[]
1311,"P1LUSI \ Rider is at customer location but customer number is nr, order mark as returned.",English,2,"['Delivery', 'timeline']",,,,,,
1312,077570 Return Reason ,English,4,"['complete', 'rider request']",,,,Positive,,
1313,N529CR Delivery timeline ,English,3,"['wrong', 'location']",,,,Neutral,,
1314,6G05FU marked complete on rider request,English,5,"['order', 'receive']",,,,Negative,,
1315,6G05FU B2C - Wrong Location,English,4,"['urgent', 'request', 'team', 'informed']",,,,Neutral,,
1316,"M87A0X \ As per rider customer keh rhy hain me is time neechy order receive karne nhi asakta or ap change bhi lekr nhi aye Rs: 5000 KA , Order mark as returned.",Roman Urdu,3,"['order', 'creation', 'informed']",,,,,['OC'],
1317,Z4CYGZ urgent request team has been informed ,English,3,"['order', 'deliver']",,,,Positive,,
1318,Q3T5NN Order creation OC has been informed ,English,6,"['order', 'mark', 'returned']",Null,Null,Null,Negative,['Null'],['nr']
1319,"U3ZQ27 \ As per rider customer ko order deliver kardiya hai, location issue ki wajha se complete nhi horaha tha, order mark as completed.",Roman Urdu,15,"['order', 'return']",,,,Negative,['QC team'],[]
1320,"6LRZ3E \ As per rider he is at customer location but customer number is nr and shop is also close, order mark as returned.",Roman Urdu,9,"['Order', 'returned']",,,,Neutral,[],[]
1321,"5K2B4P \ C38ODC customer ke orders return hone ka reason confirm kardiya hai unhy, or whatsapp group me personally highlight kia hai kiunke customer ka kehna hai QC team wale mera order deliver nhi karwaty khud hi cancel kardety hain.",Roman Urdu,3,"['reschedule', 'hamza', 'warehouse']",,,,Neutral,"['hamza', 'warehouse']",
1322,"O79T96 \ Rider is at customer location but customer number is nr, Order mark as returned.",Roman Urdu,6,"['delivery', 'warehouse', 'urgent']",,,,Neutral,['Hamza'],[]
1323,9I8K80 \ mark as reschedule as per hamza from warehouse.,English,13,"['order', 'place', 'cancel']",,,,Negative,,
1324,"Q7G8DF \ guided delivery timeline, warehouse me hamza ko inform kardiya hai urgent delivery ke liye.",Roman Urdu,5,"['order', 'returned']",,,,Neutral,,
1325,"D5JO94 \ as per rider customer ko order subha required tha lekin rider ne inform kardiya hai unhy ke yeh order cancel hojaega apko new order place karna hoga, order mark as returned. ",Roman Urdu,8,"['order', 'mark', 'reschedule']",,,,Negative,,
1326,"DJI78A \ Rider is at customer location but customer number is nr, Order mark as returned.",English,6,"['mark', 'completed']",,,,Positive,,
1327,"N2U444 \  As per rider address confirm nhi hai or customer ka number unreachable hai card payment done hai, order mark as reschedule.\n\n",Roman Urdu,8,['cancel'],,,,Negative,,
1328,"Z4CYGZ \ As per rider customer ko order deliver kardiya hai just complete mark nhi ho raha tha payment bhi kardi hai, order mark as completed.",Roman Urdu,4,"['order', 'missing', 'guide', 'invoice', 'mark']",,,,Positive,,
1329,"8N7VT8 \ as per customer unhy order urgent require tha isliye cancel karwana chahty hain, order pending tha isliye cancel kardiya gaya hai.",Roman Urdu,5,['guide'],,,,Neutral,['Daniyal'],
1330,N529CR \ SBP order tha customer ko missing item gye thy to customer ko guide kardiya hai ke invoice pe mark karden.,Roman Urdu,3,"['product', 'information', 'required']",,3373117027,,Neutral,,
1331,QT6UU2 \ Customer ko guide kardiya hai invalid prescription hai 2021 ki as per daniyal.,Roman Urdu,2,"['Guided delivery', 'timeline']",,,,Neutral,,
1332,03373117027 \ customer ko product information required thi guided.,Roman Urdu,4,"['order', 'returned']",,,,Neutral,['Rider'],
1333,V9S96B \ Guided delivery timeline.,English,6,"['guided delivery', 'urgent', 'inform']",,,,,"['hamza', 'warehouse']",
1334,"7S4S37 \ Rider is at customer location but customer number is nr, Order mark as returned.",English,5,"['rider', 'delivery']",,,,,,
1335,"J7AH04 \ guided delivery time, customer ko urgent chahiye warehouse me hamza ko inform kardia hai.",Roman Urdu,4,"['order', 'warehouse', 'inform']",,,,Negative,['Daraz Order'],
1336,V9S96B \ rider on the way hain guided delivery timeline,Roman Urdu,9,['purchase'],,,,Positive,['Rider'],
1337,"R97V74 \ As per rider galti se galat location ka order de diya hai warehouse walon ne. guide kar diya hai ke warehouse me inform karen, Daraz Order.",Roman Urdu,9,"['order', 'deliver', 'customer', 'pay', 'completed']",,,,Positive,,
1338,"Q7G8DF \ as per rider already purchase kar chuky hain customer market se , order mark as returned.",Roman Urdu,2,"['guided', 'delivery', 'information']",,9.23E+11,,Neutral,[],[]
1339,"V9S96B \  As per rider customer ko order deliver kardiya hai, Customer ne amount bhi pay kardi hai, order mark as completed.",Roman Urdu,,Null,,,,,,
1340,03343741494 guided delivery information,Roman Urdu,2,"['guided', 'delivery', 'information']",,3027542298,,,[],[]
1341, A46T68 \ guided,Roman Urdu,10,"['complain', 'forward', 'pictures', 'share', 'guide', 'email']",,,,Neutral,,
1342,03027542298 \ guided delivery information.,Roman Urdu,11,"['guide', 'trouble shooting', 'SS share', 'email']",,3212400013,,,['SS'],
1343,S3O303 \ complain already forwarded hai or close kardi gyi thi kiunke customer ne abhi tak pictures share nhi ki hain. customer ko guide kar diya hai ke pictures ap email karden uske baad complain forward ki jaegi dubara as per ticekts comments.,Roman Urdu,,Null,,,,,,
1344,03212400013 as per customer card payment ka option available nhi arhaa website or app dono pe mene trouble shooting ke liye bhi guide kiya hai or kaha hai SS share karden email pe.,Roman Urdu,6,"['pin location', 'rider location', 'call']",,,,Neutral,['cm'],
1345,cx ki awaz musool nahi hui then call drop hugai ,Roman Urdu,,Null,,3004477744,,,,
1346,cm ki pin location hai abgy kuych mention nahi hai rider location pay hain lakin proper location nahi dali v call b nahi uthary ,Roman Urdu,3,"['order', 'place']",,,,Negative,,
1347,guided timeline  03004477744,English,0,Null,,9.23E+11,,,,
1348,mistakenly order place hogya hai khe rahi hain m check kr rahi thi sirf,Roman Urdu,2,"['order', 'place', 'kiya']",,,,Negative,['cs'],
1349,03066664394 call drop ,Roman Urdu,,Null,,3066664394,,,,
1350,cs khe rahe thy k mene order place kiya tha pr na hi draft mai order tha or nah un k number sy order araha tha ,Roman Urdu,,Null,,,,,[],[]
1351,03066664394 call drop ,Roman Urdu,,Null,,,,,,
1352,46DEUZ  \nib2c order pending pr hai  cs ka medicine arrangement ki waja sy ,Roman Urdu,1,"['order', 'return']",,9.23E+11,,,,
1353,guided already return ,English,10,"['payment', 'delivered']",,3142162582,,Positive,[],
1354,order already return  03352907418,Roman Urdu,9,['deliver'],,3367798050,,Positive,,
1355,86IVVC  03142162582 payment hogai hai order delivered hogya hai .. complete kiya hai yahan say ,Roman Urdu,3,"['order', 'pending', 'call back', 'required']",,,,Neutral,,
1356,03367798050  guided rider is on the way it will delivered as soon as possible  2XXRYV,Roman Urdu,5,"['return', 'krle']",,,,Neutral,,
1357,861996 order pending py hai cs ka call back required,Roman Urdu,1,"['discount', 'updated']",,,,Negative,,
1358,Description: cm kehre hian 4 bje kay bad ka bola tha abhi9 main nahi hon mojood return krle ,Roman Urdu,5,"['guided', 'timeline', 'rider']",,,,,,
1359,DISCOUNT SHEET NOT UPDATED,English,3,"['adjustment', 'discount']",,,,Neutral,['1920'],[]
1360,1315SD guided timeline rider on the way ,English,6,"['order', 'delivery', 'timing', 'guide']",,,,,[],[]
1361,guided 1920 ki tp adjustment discount hay ,Roman Urdu,4,"['confirmation', 'draft', 'upload']",,3009706100,,,['RX'],[]
1362,IQE3K6 \ncs ko order ki delivery timing k hawale sy guide kiya hai ,Roman Urdu,1,['place'],,3322757449,,Neutral,[],
1363,4M2460  confirmation required hai cm nay draft main RX upload ki hai  03009706100,Roman Urdu,7,['order'],,9.23E+11,,Null,['iltifat'],
1364,guided how to place from quick  03322757449,Roman Urdu,3,"['order', 'completion']",,,,,,
1365,Retailer Name:   iltifat\nRetailer Contact number: 923112660213\nOff - Invoice Discount Amount: 1278\nInvoice %: as per sheet  meji ki adjustment hay \nOrder ID:  CFD3J0,Roman Urdu,,"['discount', 'rider', 'call']",,"890.57, 7RKWCS, 7622.31",,,[],[]
1366,K5PAW4General / Order Completion,English,1,"['order', 'draft']",,,,,,
1367,guided discount rider call karegy wahan jakay 890.57 discount  7RKWCS discount  7622.31,Roman Urdu,4,"['discount', 'sheet']",,3122716305,,,,
1368,NG77M1 pending py hai order draft mai,Roman Urdu,4,"['card', 'option', 'required']",,,,,,
1369,9IO5X0  03122716305 guided no discount in sheet ,Roman Urdu,0,Null,,9.23E+11,,,,
1370,cs khe rahe hain k app py card pay ki option nhi arahi hai is waja ss required hai,Roman Urdu,3,Null,,,,Neutral,,
1371,03008307821 no cash return ,Roman Urdu,1,"['order', 'pending']",,,,Neutral,['cs'],[]
1372,rider kehre hian wareghouse say hi nahi mila tha  Y4R0GQ,Roman Urdu,0,['approved'],,,,Negative,,
1373,FHKWV6//N9TZZ7 draft mai pending mai hai order cs ka ,Roman Urdu,5,['refund'],Null,,,Neutral,,"['gadha', 'chutya']"
1374,DISCCOUNT NOT APPROVED,English,2,['discount'],,,,Negative,,
1375,ref case made cx say bank details mangi email pe for refund ,Roman Urdu,5,"['cancel', 'place']",,3068855559,,,,
1376,DISCOUNT NOT APPROVED,English,1,Null,,,,Negative,[],[]
1377,03068855559 5HK557 cnacel karna chahry hain again place karengy  ,Roman Urdu,4,Null,,,,Negative,,
1378,DISCOUNT NOT APPROVED,English,7,"['order', 'invoice']",,9.23E+11,,Neutral,['Abdul Basit'],
1379,DISCOUNT NOT APPROVED,English,,Null,,,,,,
1380,Retailer Name:  Abdul Basit\nRetailer Contact number:  923232485636\nOff - Invoice Discount Amount: 1197\nInvoice %: as per sheet growth dis\nOrder ID:  6DXJ58,English,2,"['order', 'pending']",,,,Neutral,,
1381,Rs 1511 ka disc hai,Roman Urdu,3,"['order', 'confirmartion', 'required', 'order', 'pending']",,9.23E+11,,,,
1382,GUIDE KRDYA HAI ORDER PENDING M HAI ABHI,Roman Urdu,0,Null,,,,,,
1383,H86RRQ  03333205690 order confirmartion required  order pending hai abhi ta ,Roman Urdu,1,Null,,,,Negative,[],[]
1384,2216 disc hai ,Roman Urdu,,Null,,,,,,
1385,Herbiotics Factoron Men's Health Formula Tablet 30 'S out of stock hai ,Roman Urdu,,Null,,,,,,
1386,B2C  Cm unreachable hai  adress complete nahi  house # mention nahi kiya hua \n\n,Roman Urdu,5,"['return', 'order']",,,,Negative,[],[]
1387,4712 ka disc hai MV2G8Z,Roman Urdu,2,Null,,3095425602,,Neutral,[],[]
1388, Return Reason:\n B2B  Cm kay pass cash nahi hai return karna hai order,Roman Urdu,4,['order'],,,,Negative,[],[]
1389,03095425602 as per caller ki awaz nhi arahi thi phir call drop hogai,Roman Urdu,3,Null,,,,Neutral,,
1390,B2B Cm kehre hain many yeh order nahi kara FAKE HAI   TP7V7M,Roman Urdu,,Null,,,,,,
1391,1QV0C3  no discount in sheet ,English,11,"['order', 'confirm']",,9.23E+11,,Neutral,"['M Sadiq', 'supplier']",
1392,1009 ka disc hai ODTCTT ,Roman Urdu,2,['warehouse'],,,,Neutral,['Morinaga BF-1'],[]
1393,Retailer Name:  M Sadiq\nRetailer Contact: 923008344204\nReturn Reason: as per supplier ka kehna hai cus keh rahe hain k mein 82.31 pessy ka q order karunga ye wrong order hai booker ne place kiya hai kindly confirm karen.  02A5LE  B2B - Return - Wrong Order - ISL,English,5,"['discount', 'sheet']",Null,Null,Null,Null,Null,Null
1394,Morinaga BF-1 Infant Powde warehouse say hi nahi aya ,Roman Urdu,,Null,,,,,,
1395,377D62 no discount in sheet,Null,3,['discount'],,,,Negative,,
1396,GUIDED ABOUT Pampers Skin Comfort Size 2 Newborn Mini Diaper 40 'S,English,0,Null,,,,Neutral,[],[]
1397,71NI2V no discount in sheet ,Roman Urdu,2,"['order', 'draft', 'pending', 'guide']",,,,Positive,[],[]
1398,Off - Invoice Discount Amount: Rs4533,English,,Null,,,,,,
1399,U5K1I6 // customer ka order draft me pending tha cm ko guide kar diya hai,Roman Urdu,16,"['order', 'deliver']",,9.23E+11,,Neutral,['Shoaib Mukhlis'],
1400,M408X0 guided already update ,English,10,"['return', 'supplier']",,,,Neutral,['B2B Cm'],
1401,Retailer Name:  Shoaib Mukhlis\nRetailer Contact: 923132506309\nReturn Reason: AS PER SUPPLIER CX KI SHOP CLOSE HAI MEINE RAABTA KIYA HAI WOH KEH RAHE HAIN MERI SHOP AJJ 3baje tak CLOSE RAHE GI AP ORDER 3baje ka bad deliver kardein lekin supplier ka kehna hai k mein deliver nhi kar skhta KINDLY CONFIRM KAREN......\norder id;MS9HZ7,Roman Urdu,7,"['order', 'pending', 'medicine', 'arrange', 'call back']",,,,Neutral,['sbp'],
1402,Return Reason: \n\n\nB2B Cm ki shop closed hai  supplier return ka bol rahe hain ,Roman Urdu,7,Null,,,,,['Larkana'],
1403,2J0JP3  as per cus sbp order pending hai ek medicine ki arrange ki waja se hirudoid cream kindly cus ko call back karen,Roman Urdu,1,Null,,,,Neutral,[],[]
1404,cm ka mukammal addres  yeh hai : please update in instruction \nhouse no 258  anwar khkar street near syed jopdher lahori muhallah larkana ,Roman Urdu,3,"['order', 'delivery', 'timing', 'guide']",,,,,[],[]
1405,764BZA  //  as per cm Atrovent Solution 500mcg/2ml Liquid 20.0 'S ko missing mili hai // guided,Roman Urdu,1,Null,,,,Negative,[],[]
1406,7013I7 cs ko order ki delivery timing k hawale sy guide kiya hai ,Roman Urdu,3,['order'],,9.23E+11,,,['Muhammad Jabran Khalid'],
1407,C7DZ89 as per rider cus ki locaion per mojood hai or woh call pick nhi kar rahe hain.,Roman Urdu,0,Null,,,,Neutral,,
1408,Retailer Name:  - Muhammad Jabran Khalid\nRetailer Contact number:  923338722888\nAmount:   126 \nTP Issue SKU's:  meiji FMT 400,English,1,['order'],,9.23E+11,,Positive,,
1409,450 ka differnce guide kar diya hai,Roman Urdu,3,['order'],,9.23E+11,,Neutral,['Arsalan'],
1410,\n\nRetailer Name: - Muzammil Asif\nRetailer contact: 923005089530\nBooker Name:  na \nOrder ID:46197I\n\n\n470 ka disc hai  ,Roman Urdu,6,"['order', 'call', 'location']",,,,Positive,['klara'],[]
1411,Retailer Name:  Arsalan\nRetailer Contact number:  923113105398\nAmount:  63 \nTP Issue SKU's:  Meiji FM-T Powder 400.0 gm,English,12,['order'],,,,Neutral,['rider'],[]
1412,Order ID:z08r6d\nReason: complete klara hai call pay location door ki thi ,Roman Urdu,9,"['rider', 'location', 'cs']",,,,,,
1413,42DM6H // cm ko order sham mai 5 bje required hai aur rider ka wapsi ka route nhe hai,Roman Urdu,10,"['order', 'deliver']",,,,Positive,,
1414,6257PI \nrider cs ki location pr hain or cs cll pick nhi kr rahe hain ,Roman Urdu,3,"['discount', 'sheet', 'add']",,,,,['supplier'],
1415,C3629G  /// Customer ko guide kar diya hai  apki medicine arrange ho rhi hai is liye delay ho raha hai apka order jald deliver ho jayega.,Roman Urdu,6,"['verification', 'case', 'forward']",,,,Neutral,[],[]
1416,9R3W79 as per supplier ne discount sheet mein add karwaya hai,Roman Urdu,7,"['order', 'delivery', 'time', 'guide', 'noted']",,,,Positive,,
1417,as per supplier cus tax verification k liye aye thy case agy forwad kar diya ,Roman Urdu,12,"['order', 'reschedule']",,9.23E+11,,Neutral,,
1418,BO1Y89   AS PER CX APNE ORDER KI DELIVERY TIME KA POCH RAHE THY SO GUIDE KAR DIYA HAI KINDLY NOTED....\n\n,Roman Urdu,4,"['guided', 'chage']",,,,Negative,[],[]
1419,Customer Name:  Izyan\nCustomer Contact: 923132263044\nOrder ID:Q6Q0EL\nDescription: cm location pay nahi hai kehre hian baad main lana order reshedual ka option nahi hai kindly guided return \n\n,Roman Urdu,5,['order'],,,,Neutral,['cs'],
1420,KADZ80  guided already reatuern due to chnage mind ,Roman Urdu,4,"['call', 'transfer', 'pharmacist']",,,,Neutral,['Huda Fatima'],
1421,cs ne ghalti sy call kardi thi or cs ka koi order nahi tha ,Roman Urdu,5,['Amount'],,3445149027,,Neutral,['Muhammad Hadi'],
1422,huda fatima call transfer to pharmacist ,English,1,['Order'],,9.23E+11,,,['Usman'],
1423,Retailer Name:    Muhammad Hadi\nRetailer Contact number:   03445149027\nAmount:  50 \nTP Issue SKU's:   Gravinate 50mg Ampule 1.0 ml ,Roman Urdu,7,"['order', 'return', 'cash']",,9.23E+11,,Neutral,[],[]
1424,"Retailer Name:  Usman\nRetailer contact:   923479423945\nOrder ID:""8T45Y1\n\n\n\n\nMorinaga BF-1 Infant Powder 400 missing hai warejhouse say hui  ",Roman Urdu,,Null,,,,,,
1425,\n\nRetailer Name:  Irfan Ameer Ali\nRetailer Contact:  923422640078\nReturn Reason: \nB2B  Cm kay pass cash nahi hai return karna hai order\n\n\ncall on 03062949436,Roman Urdu,4,"['order', 'guide']",,,,Neutral,[],[]
1426,Flux 20mg Capsule 14.0 'S  6T1LR4 as per supplier tp ,English,,Null,,9.23E+11,,,,
1427,order ke bare me poch rahe the so guide krdiya ,Roman Urdu,6,"['return', 'order']",,,,Positive,['cs'],[]
1428,SK5M5W // Retailer Name:  Muhammad Hadi \nRetailer Contact number:  923122771707\nAmount: 31\nTP Issue SKU's:   Normal Saline 0.90% Injection 25.0 ml ,Roman Urdu,,Null,,9.23E+11,,,,
1429,supplier partial return kar wa rahy thy cs ko guide kar dia hain full order return hoga supplier cs sy confirm kr k call back kary gy,Roman Urdu,,Null,,,,,,
1430,Retailer Name:  Kamran  \nRetailer Contact number:  +923161105852\nOff - Invoice Discount Amount:   4047.15 \nInvoice 1.5%: \nOrder ID:   DLQLQ8,English,6,"['adjustment', 'kar', 'way']",,,,Negative,,
1431,LFZ3E1 discount issue,English,18,"['order', 'return', 'confirm']",,9.23E+11,,,['Amir'],
1432,supplier ko guide kar dia hain cs ki adjustment nahi hain kindly tw cs ki adjustment nahi kar way gy ap,Roman Urdu,2,Null,,,,Neutral,[],[]
1433,Retailer Name: Amir\nRetailer Contact: +923462227747\n\n\nReturn Reason:as per supplier cus ka kehna hai k mere order mein khud place karta hon lekin ye order meine place nhi kiya hai or woh order mein se sirf Clinagel 1% Gel 10.0 gm ye le rahe hain to order return hoga kindly cus se confirm karen..\norder id;X21BI2,Roman Urdu,1,Null,,,,Neutral,[],[]
1434,supp ki cll drop hogyi bt ho rahi thi,Roman Urdu,1,['order'],,,,Neutral,,
1435,XF8823  as per supplier ,English,5,['order'],,9.23E+11,,Positive,[],[]
1436,ne order id batai phir call drop hogai..,Roman Urdu,10,Null,,,,Neutral,,
1437,\n\nCustomer Name: Nayyab Zahra\nCustomer Contact: 923413056104\nOrder ID: 631F37\nDescription: cm kehri hain kuch item ghalat select hogye hian again order karongi \n\n,Roman Urdu,8,"['order', 'deliver', 'complete', 'krwane']",,,,Positive,,
1438,Customer ke pass cash nhe hai kindly customer se confirm kar lain // 7XB4XC,Roman Urdu,6,"['order', 'riding']",,9.23E+11,,Neutral,,
1439,3ZB303 rider ny order deliver krdiya tha ab order ko complete krwane aye thy ,Roman Urdu,Null,Null,Null,Null,Null,Null,Null,Null
1440,Retailer Name:  Saad Saeed\nRetailer Contact number:  +923311424525\nPrevious Bill Amount: 331\nPrevious Order ID:  FRS49S  //  1668416170923\nNature of Issue:  previous adjustment \nSKU's:  Cefspan 400mg Capsule 5.0 'S,English,3,Null,,,,Positive,[],[]
1441,03332174567 incomplete info,Null,4,['Order Cancellation'],,,,,"['RTS', 'KHI', 'MR2083']",[]
1442,617IHA // supplier just discount amount confirm kar rhe the guide kar diya hai,Roman Urdu,8,Null,,9.23E+11,,,['Umair Irfan'],
1443,B2C - Order Cancellation at RTS - KHI  MR2083,English,5,"['order', 'exchange']",,,,,['Getryl 3mg Tablet'],
1444,"\n\nRetailer Name:   Umair Irfan\nRetailer Contact number:  923343704968\nAmount: 128\nTP Issue SKU's:   	\nCerelac Wheat Powder 25.0 gm",English,1,"['Issue', 'SKU']",,9.23E+11,,,"[""Neolexa 10mg Tablet 10.0 'S""]",
1445,H0T389  as per cus apne order ki exchange karna chah rahi thi product name Getryl 3mg Tablet 10.0 'S so guide kardiya hai k esa mumkin nhi hoga,Roman Urdu,0,Null,,3112014489,,Neutral,,
1446,Retailer Name:  shahzaib ali \nRetailer Contact number:   923364563499\nAmount:  61 \nTP Issue SKU's:   Neolexa 10mg Tablet 10.0 'S ,Roman Urdu,4,"['closed', 'supplier', 'return']",,,,,['B2B Cm'],
1447,03112014489 //call drop,English,8,Null,,,,Negative,,
1448,B2B Cm ki shop closed hai  supplier return ka bol rahe hain ,Roman Urdu,9,"['assign', 'add']",,,,Neutral,,
1449,7WT75I //  Retailer ki shop bnd hai aur retailer se rabta bhi nahe ho raha hai kindly confirm kar lain,Roman Urdu,2,['return'],,,,,,
1450,Rs2410 ka disc hai pr supp ny assign nhi kiya hua jis waja sy sheet mai add nhi krwa raha hau assign krne k bd ayein k tb add kiya jyega,Roman Urdu,1,"['transfer', 'pharmacist']",,,,Neutral,['Iqra Waqar'],
1451,"\n\nMeiji FM-T Powder 900.0 gm  cm kehre hian yeh ghalat lagaya hai yeh nahi m,nagaya tha [artial b nahi ho skat retuern krre hian ",Roman Urdu,5,"['order', 'place']",,,,Negative,['abdul samad'],['I8YUGE']
1452,call transfer to pharmacist  iqra waqar,English,6,"['rate', 'issue', 'call', 'drop']",,3171086998,,,,
1453,:cm ke booker ka naam abdul samad hai lakin cm order khud place karte hain lakin yeh order cm ne place nhe kiya hai //  I8YUGE,Roman Urdu,0,Null,,,,,[],[]
1454,18P5B9 rate ka issue tha but call drop hogaii  03171086998,Roman Urdu,,Null,,3030600096,,,,
1455,A056GQ guided timeline ,English,4,"['discount', 'request']",,,,Neutral,['booker'],[]
1456,03030600096 // incompelte info,,3,['Order'],,9.23E+11,,Neutral,['Muhamad Ijaz'],[]
1457,94CTZC  as per supplier ne booker discount 1200  add karne ki request ki hai..,Roman Urdu,1,['order'],,9.23E+11,,Negative,,['FAKE']
1458,Retailer Name: Muhamad Ijaz\nRetailer contact: 923085446459\nBooker Name:  na \nOrder ID:S2EO32\n500 ka disc diya hai ,Roman Urdu,5,['confirm'],,,,,[],[]
1459,Retailer Name:   Niaz\nRetailer Contact:  923181057983\nReturn Reason: \nB2B Cm kehre hain many yeh order nahi kara FAKE HAI ,Roman Urdu,3,['confirm'],,,,,[],[]
1460,PT7L1E  // Retailer ki shop bnd hai aur retailer se rabta bhi nahe ho raha hai kindly confirm kar lain,Roman Urdu,8,"['order', 'partial']",,9.23E+11,,Neutral,['Molfix'],"['sasta', 'karwa']"
1461,2N74K0 //  Customer ke pass cash nhe hai kindly customer se confirm kar lain,Roman Urdu,6,Null,,,,Negative,[],[]
1462,"Retailer Name:  Baharullah Khan\nRetailer contact: 923336000672\nOrder ID:""HHJ998  baharb say sasta milra hai partial karwa diya hia  Molfix Mega Pack Size 2 Mini",Roman Urdu,6,Null,,9.23E+11,,Neutral,"['Hameed Khan', 'Meiji FM-T Powder']",[]
1463,cm bol rhe hain mene koi order nhe kiya hai yeh order booker ne place kiya hai booker ka naaam nhe maloom nhe hai as per supplier //  CSXJ2J,Roman Urdu,5,"['order', 'invoice', 'discount', 'amount']",,9.23E+11,,Neutral,['Adnan'],
1464,Retailer Name:   - Hameed Khan\nRetailer Contact number:  923212986914\nAmount: 253 \nTP Issue SKU's:  Meiji FM-T Powder 400.0 gm,English,6,"['order', 'return']",,,,Neutral,,
1465,Retailer Name:   Adnan\nRetailer Contact number: 923212628124\nOff - Invoice Discount Amount: 81\nInvoice %: 1% groth dist\nOrder ID:  5BIFJL,Roman Urdu,1,"['booker diya', 'disc', 'cm']",,9.23E+11,,Negative,,
1466,99H1WJ AS PER SUPPLIER CX KI SHOP CLOSE HAI MEINE RAABTA KIYA HAI WOH KEH RAHE HAIN MERI SHOP AJJ CLOSE RAHE GI AP ORDER RETURN KARDEIN KINDLY CONFIRM KAREN......,Roman Urdu,3,"['return', 'order']",,9.23E+11,,Neutral,['Muhammad Adil'],
1467,Retailer Name: - Muhamad Ijaz\nRetailer Contact:  923085446459\nDescription: \nbooker nay 500 ka disc diya tha lakin cm zada mangry thay ,Roman Urdu,4,"['supplier', 'guide', 'amount', 'update']",,,,Positive,,
1468,\n\nRetailer Name:  Muhammad Adil\nRetailer Contact:  923113023131\nReturn Reason: \n\n\nB2B  Cm kay pass cash nahi hai return karna hai order,Roman Urdu,9,"['order', 'TCS', 'delivery', 'guide', 'noted']",,,,Neutral,"['CX', 'TCS']",[]
1469,supplier ko guide kar diya hai already amount update hai  // 3030X2,Roman Urdu,,Null,,,,,,
1470,9U0Y9R  AS PER CX APNE ORDER KI TCS DELIVERY TIME KA POCH RAHE THY SO GUIDE KAR DIYA HAI KINDLY NOTED.....\n\n,Roman Urdu,0,Null,,,,Negative,[],[]
1471,Morinaga Bf-1 Infant Powder 900 gm /// guided,English,0,"['koshish', 'delivery']",,,,Positive,[],[]
1472,cx kah rahy hay box pay kam price mention hay or ap zayda lay rahy hay is liya return kar rahy ay ,Roman Urdu,12,"['discount', 'adjust', 'product']",,,,,['NE40N1'],
1473,cs ko guide kar dia hain koshish kary gy product arranged kar k aj ya kal tak deliver kar di jay ,Roman Urdu,10,"['return', 'order']",,,,Negative,,"['galti', 'nhe']"
1474,NE40N1 as per supplier ne phely discount pocha hai uske baad tp adjust karne ka keh rahe thy phir ek product ki tp ,Roman Urdu,3,"['order', 'delivery', 'timing', 'guide']",,,,Neutral,['K8PUBI'],[]
1475, as per supplier cm ne Vetrawin 250mg Tablet 10.0 'S galti se place kar diya hai is liye cm return kar rhe hain aur amount 60 / 70 % nhe ban rhi hai is liye order return ho rha hai  // 70YU6X,Roman Urdu,,Null,,,,,[],[]
1476,K8PUBI cs ko order ki delivery timing k hawale sy guide kiya hai ,Roman Urdu,11,['order'],,,,Neutral,['Rider'],"['baje', 'lanay', 'opay', 'cm']"
1477,caller ki awaz nhi arahi thi is waja sy cll drop ki gyi hai inki ,Roman Urdu,0,Null,Null,Null,Null,Null,[],[]
